bob
Mon Oct 10 16:44:17 2022    example.stats

         973 function calls (969 primitive calls) in 0.001 seconds

   Ordered by: cumulative time
   List reduced from 229 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/serving.py:156(server_version)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 /nix/store/2vm88xw7513h9pyjyafw32cps51b0ia1-python3-3.8.12/lib/python3.8/http/server.py:593(log_date_time_string)
        1    0.000    0.000    0.000    0.000 /nix/store/2vm88xw7513h9pyjyafw32cps51b0ia1-python3-3.8.12/lib/python3.8/http/server.py:525(end_headers)
        5    0.000    0.000    0.000    0.000 /nix/store/2vm88xw7513h9pyjyafw32cps51b0ia1-python3-3.8.12/lib/python3.8/http/server.py:511(send_header)
        1    0.000    0.000    0.000    0.000 /nix/store/2vm88xw7513h9pyjyafw32cps51b0ia1-python3-3.8.12/lib/python3.8/socket.py:496(close)
        3    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/local.py:559(_get_current_object)
        3    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/urls.py:91(port)
        2    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/local.py:237(pop)


